driver_id,total_fare,avg_distance
15,56.54,4.98
11,31.87,38.77
87,23.07,32.2
73,230.21,18.32
64,92.46,41.86
30,101.55,8.66
34,71.94,24.23
59,254.19,23.73
28,209.44,1.87
22,220.45,33.656666666666666
85,51.42,29.430000000000003
35,228.2,39.285
71,155.47,31.869999999999997
47,88.39,18.47
99,205.64999999999998,7.109999999999999
43,62.99,14.47
5,168.23,26.759999999999998
31,20.34,23.765
100,222.08999999999997,9.129999999999999
70,224.31,23.84
61,217.07,21.185
27,44.55,26.3
26,362.55999999999995,12.9725
78,33.77,26.48
77,79.01,30.09
89,257.39,28.55
68,209.19,24.05
60,129.45999999999998,14.045
19,278.36,4.305
23,183.42000000000002,25.419999999999998
93,25.22,19.43
40,123.69,14.86
25,75.56,23.245
53,138.56,37.076666666666675
92,129.26,27.013333333333332
86,146.1,19.4
58,104.47,27.92
33,132.28,32.945
48,23.86,36.54
67,101.07,37.01
79,84.07,26.02
24,241.11,25.836666666666662
32,236.27,34.86333333333334
88,67.03,4.16
1,82.23,16.77
20,396.36999999999995,39.8975
56,50.81,47.65
37,145.2,24.835
49,254.97,31.22
63,191.57999999999998,12.87
4,122.34,31.6
39,121.5,45.91
62,141.67,33.59
21,140.05,29.02
14,140.26,17.925
66,94.01,3.05
91,60.02,14.53
74,183.8,28.25
72,176.77,13.325
80,107.39,2.62
50,100.33,19.92
57,42.71,6.88
